,school,test_optional?,applies_to_class_year(s),policy_details,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
133,Santa Clara University,Yes,2021 2022,Santa Clara University has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Santa Clara will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,16300,0.488,1280.0,1440.0,28.0,32.0
134,Southwestern University,Yes,All / Permanent Policy,Southwestern University has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,4766,0.49,1140.0,1320.0,23.0,29.0
135,Pennsylvania State University—​University Park,Yes,2021,Pennsylvania State University--College Park has adopted a one-year test optional policy for students entering in the Summer and Fall of 2021.,71903,0.491,1160.0,1370.0,25.0,30.0
136,Marist College,Yes,All / Permanent Policy,Marist College offers a test optional policy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students applying to some programs are not eligible for test optional admission.,11260,0.492,1210.0,1360.0,26.0,31.0
137,The College of New Jersey,Yes,2021 2022 2023,The College of New Jersey has adopted a three-year test optional policy for all applicants beginning in the 2020-21 admission cycle.,13824,0.493,1160.0,1360.0,25.0,30.0
138,Worcester Polytechnic Institute,Yes,All / Permanent Policy,Worcester Polytechnic Institute offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10645,0.494,1310.0,1470.0,29.0,33.0
139,Syracuse University,Yes,2021,Syracuse has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,34981,0.499,1180.0,1370.0,25.0,30.0
140,University of La Verne,Yes,All / Permanent Policy,University of La Verne offers a test optional policy which allows first-year applicants to be considered for admission without SAT or ACT scores.,7276,0.509,1020.0,1205.0,20.0,26.0
141,Clemson University,Yes,2021,Clemson has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,29070,0.513,1230.0,1400.0,27.0,32.0
142,Austin College,Yes,All / Permanent Policy,Austin College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,4360,0.513,1110.0,1290.0,24.0,29.0
143,University of California—​Santa Cruz,Yes (TB),2021 2022 2023 2024,UCSC has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,55906,0.515,1200.0,1360.0,24.0,30.0
144,University of Washington--Seattle,Yes,All / Permanent Policy,The University of Washington--Seattle offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,45579,0.518,1240.0,1440.0,27.0,33.0
145,California State University--Fullerton,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,50105,0.527,1030.0,1200.0,19.0,24.0
146,University of Wisconsin—​Madison,Yes,2021 2022,The University of Wisiconsin--Madison has adopted temporary test optional policy for students applying through Summer 2023.,43921,0.53,1330.0,1450.0,27.0,32.0
147,Colorado School of Mines,Yes,2021,Colorado School of Mines has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,11756,0.531,1260.0,1460.0,27.0,33.0
148,Chapman University,Yes,All / Permanent Policy,Chapman offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who graduate from schools without traditional grades are not eligible for test optional admission.,14198,0.536,1190.0,1370.0,25.0,30.0
149,Ohio State University—​Columbus,Yes,2021,OSU has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. However home-schooled students and students who attend a non-chartered high school are not eligible for test optional admission.,47703,0.537,1250.0,1460.0,28.0,32.0
150,Texas Lutheran University,Yes,2021,Texas Lutheran University has adopted a one-year test optional policy for domestic first-year applicants in the 2020-21 admission cycle.,2198,0.543,990.0,1160.0,19.0,25.0
151,University at Albany—​SUNY,Yes,2021,The University at Albany-SUNY has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,27529,0.543,1090.0,1250.0,22.0,28.0
152,Georgia Southern,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13858,0.545,1050.0,1200.0,20.0,25.0
153,College of Wooster,Yes,All / Permanent Policy,The College of Wooster offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,6352,0.547,1150.0,1380.0,24.0,31.0
154,San Jose State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36243,0.547,1040.0,1260.0,19.0,26.0
155,California State Polytechnic University--Pomona,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,36660,0.555,1030.0,1250.0,19.0,27.0
156,Whitman College,Yes,All / Permanent Policy,Whitman College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are strongly encouraged to submit SAT or ACT scores.,4832,0.558,1240.0,1450.0,28.0,33.0
157,Sarah Lawrence College,Yes,All / Permanent Policy,Sarah Lawrence College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3325,0.558,1240.0,1420.0,27.0,32.0
158,New School,Yes,All / Permanent Policy,The New School offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,9911,0.566,1150.0,1360.0,24.0,30.0
159,University of Pittsburgh,Yes,2021,University of Pittsburgh has adopted a one-year test optional policy for Fall 2021 applicants to the Dietrich School however students applying to the Business Computing & Information Engineering and Nursing schools are still required to submit scores.,32091,0.567,1260.0,1440.0,28.0,33.0
160,University of California Riverside,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,49788,0.567,1130.0,1340.0,24.0,30.0
161,University of Minnesota—​Twin Cities,Yes,2021,University of Minnesota-Twin Cities has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,40673,0.567,1260.0,1480.0,26.0,31.0
162,Hobart and William Smith Colleges,Yes,All / Permanent Policy,Hobart and William Smith Colleges offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,4526,0.569,1203.0,1360.0,27.0,30.0
163,Abilene Christian University,Yes,2021,Abilene Christian University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,11569,0.57,1040.0,1230.0,21.0,27.0
164,Bennington College,Yes,All / Permanent Policy,Bennington has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores.,1494,0.57,1230.0,1390.0,28.0,32.0
165,Birmingham-​Southern College,Yes,All / Permanent Policy,Birmingham-Southern College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However applicants who select test optional admission are required to have an interview with an admissions counselor.,3628,0.57,1040.0,1250.0,22.0,28.0
166,Fairfield University,Yes,All / Permanent Policy,Fairfield University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,12315,0.571,1210.0,1350.0,26.0,30.0
167,Georgia State,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,19838,0.574,990.0,1190.0,21.0,26.0
168,Texas A&M University—​College Station,Yes,2021,Texas A&M University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42899,0.575,1160.0,1390.0,26.0,31.0
169,Saint Louis University,Yes,2021,Saint Louis University has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,15120,0.575,1180.0,1370.0,25.0,31.0
170,St. John's College Annapolis,Yes,All / Permanent Policy,St. John's College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students and students who will not earn high school diplomas are not eligible for test optional admission. Most international students are not eligible for test optional admission.,913,0.576,1210.0,1450.0,24.0,33.0
171,Lake Forest College,Yes,All / Permanent Policy,Lake Forest College has a test-optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants must complete an interview. Homeschooled students are not eligible for test optional admission.,4147,0.579,1110.0,1310.0,23.0,29.0
172,Kennesaw State University,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,13427,0.579,1080.0,1270.0,21.0,26.0
173,California State University--Fresno,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,18122,0.579,950.0,1130.0,16.0,22.0
174,Rollins College,Yes,All / Permanent Policy,"Rollins offers a test optional policy (""test scores waived option"") which allows students to be considered for admission without SAT or ACT scores. However applicants to the 3/2 Accelerated Management Program or the Honors Degree Program must submit test scores.",6167,0.583,1160.0,1340.0,24.0,30.0
175,University of Hawaii at Manoa,Yes,2021,University of Hawaii has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,16244,0.584,1070.0,1270.0,21.0,26.0
176,University of Denver,Yes,All / Permanent Policy,University of Denver offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,21028,0.587,1170.0,1350.0,26.0,31.0
177,Hampden-​Sydney College,Yes,2021,Hampden-Sydney College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,3240,0.59,1050.0,1250.0,21.0,27.0
178,University of Illinois—​Urbana-​Champaign,Yes,2021,University of Illinois--Urbana-Champaign has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,43509,0.59,1220.0,1480.0,27.0,33.0
179,Millsaps College,Yes,2021,Millsaps College has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,4161,0.593,1080.0,1260.0,22.0,28.0
180,California State University--Northridge,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,30637,0.593,910.0,1130.0,16.0,22.0
181,Clark University,Yes,All / Permanent Policy,Clark University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international students are not eligible for test optional admission.,7687,0.594,1200.0,1390.0,28.0,31.0
182,Lipscomb University,Yes,2021,Lipscomb University has adopted a one-year test optional policy for first-year applicants entering in Spring and Fall 2021.,3638,0.595,1060.0,1320.0,22.0,29.0
183,Virginia Military Institute,Yes,2021,The Virginia Military Institute has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1515,0.595,1090.0,1270.0,21.0,28.0
184,Purdue University—​West Lafayette,Yes (TF),2021,Purdue University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. This policy applies to the Spring Summer and Fall 2021 terms.,54912,0.598,1190.0,1440.0,25.0,32.0
185,Temple University,Yes,All / Permanent Policy,Temple University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However home-schooled applicants recruited student athletes and international applicants are not eligible for test optional admission.,35599,0.6,1120.0,1320.0,24.0,30.0
186,Rutgers The State University of New Jersey—​New Brunswick,Yes,2021,Rutgers has adopted a one-year test optional policy for in the 2020-21 admission cycle.,41348,0.601,1190.0,1410.0,25.0,31.0
187,Illinois Institute of Technology,Yes,2021,Illinois Institute of Technology has adopted a one-year test optional policy for students applying to the Spring and Fall 2021 semesters.,5049,0.602,1190.0,1400.0,26.0,32.0
188,Yeshiva University,Yes,2021,Yeshiva has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,1508,0.603,1140.0,1400.0,22.0,30.0
189,Illinois Wesleyan University,Yes,2021,Illinois Wesleyan has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Test optional applicants must have an interview with their admissions counselor and submit an essay.,3719,0.608,1120.0,1320.0,24.0,29.0
190,Furman University,Yes,All / Permanent Policy,Furman University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5469,0.611,1230.0,1410.0,28.0,32.0
191,University at Buffalo—​SUNY,Yes,2021,University at Buffalo-SUNY has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,29900,0.611,1160.0,1340.0,24.0,29.0
192,Concordia College—​Moorhead,Yes,All / Permanent Policy,Concordia College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,4160,0.612,1080.0,1368.0,21.0,27.0
193,SUNY College of Environmental Science and Forestry,Yes,2021,SUNY College of Environmental Science and Forestry has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,2018,0.614,1120.0,1310.0,23.0,29.0
194,University of Portland,Yes,2021,University of Portland has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,14505,0.615,1160.0,1330.0,23.0,29.0
195,Cornell College,Yes,All / Permanent Policy,Cornell College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Students who apply test optional are expected to respond to two additional written prompts on their applications and to submit portfolios.,3118,0.618,1100.0,1345.0,23.0,29.0
196,Muhlenberg College,Yes,All / Permanent Policy,Muhlenberg College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,4146,0.618,1170.0,1360.0,26.0,30.0
197,Gonzaga University,Yes,2021,Gonzaga University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,9279,0.619,1210.0,1358.0,25.0,30.0
198,Beloit College,Yes,All / Permanent Policy,Beloit offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3657,0.62,1080.0,1380.0,24.0,30.0
199,Lawrence University,Yes,All / Permanent Policy,Lawrence University offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,3463,0.621,1200.0,1430.0,25.0,32.0
200,University of Utah,Yes,2021 2022 2023,The University of Utah has adopted a test optional policy for students applying through Fall 2023. However students who have GEDs who attend a non-accredited high school or who are applying for direct admission into select programs are not eligible for TO. Test scores are also required for merit scholarships.,24404,0.621,1142.5,1380.0,22.0,29.0
201,Allegheny College,Yes,All / Permanent Policy,Allegheny College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students are not eligible for test optional admission.,5208,0.622,1170.0,1360.0,24.0,30.0
202,University of Delaware,Yes,2021,University of Delaware has adopted a one-year test optional policy for all students applying to the Spring and Fall 2021 terms.,27691,0.624,1170.0,1350.0,25.0,30.0
203,Westmont College,Yes,2021,Westmont College has adopted a one-year test optional policy for student applying to the Spring and Fall 2021 semesters.,2937,0.624,1110.0,1370.0,23.0,30.0
204,Luther College,Yes,2021,Luther College has adopted a one-year test optional policy for Fall 2021 applicants.,4422,0.626,1050.0,1310.0,23.0,29.0
205,Rutgers The State University of New Jersey—​Newark,Yes,2021,Rutgers has adopted a one-year test optional policy for in the 2020-21 admission cycle.,13259,0.627,1020.0,1190.0,19.0,24.0
206,Earlham College,Yes,All / Permanent Policy,Earlham offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However international students and homeschooled students are not eligible for test optional admission.,2070,0.634,1100.0,1370.0,23.0,30.0
207,Augustana College,Yes,All / Permanent Policy,Augustana College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. Test optional applicants may be asked to complete an interview. However homeschooled applicants and international applicants are not eligible for test optional admission.,6211,0.636,1070.0,1280.0,22.0,29.0
208,Wofford College,Yes,All / Permanent Policy,Wofford College has a test optional policy which allows students to be considered for admission without submitting SAT or ACT scores. However international students are not eligible for test optional admission.,3522,0.636,1180.0,1350.0,27.0,30.0
209,New Jersey Institute of Technology,Yes,2021,The New Jersey Institute of Technology has adopted a one-year test optional policy for applicants applying in the 2020-21 admissions cycle.,8123,0.637,1190.0,1380.0,25.0,30.0
210,University of Massachusetts—​Amherst,Yes,2021 2022 2023,UMass Amherst has adopted a three-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after the three-year period.,42157,0.638,1190.0,1390.0,26.0,32.0
211,Wabash College,Yes,2021,Wabash has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,1307,0.642,1120.0,1320.0,23.0,29.0
212,DePauw University,Yes,All / Permanent Policy,DePauw University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and students who wish to apply for an Honor Scholar or Fellows program are not eligible for test optional admission.,4935,0.644,1130.0,1360.0,23.0,30.0
213,Drury University,Yes,All / Permanent Policy,Drury University offers a test optional policy which allows domestic students to be considered for admission without SAT or ACT scores.,1664,0.644,1045.0,1225.0,22.0,28.0
214,St. John Fisher College,Yes,2021 2022,St. John Fisher College has adopted a two-year test optional policy beginning with the 2020-21 admission cycle. They will reevaluate their policy after two years.,4720,0.645,1070.0,1260.0,21.0,26.0
215,University of San Francisco,Yes,All / Permanent Policy,University of San Francisco offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,18411,0.646,1130.0,1330.0,23.0,29.0
216,Bard College,Yes,All / Permanent Policy,Bard College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,5141,0.646,1248.0,1420.0,27.0,31.0
217,Goshen College,Yes,2021,Goshen has adopted a one-year test optional policy for students applying to enroll in Fall 2021.,1278,0.647,1010.0,1210.0,21.0,29.0
218,Agnes Scott College,Yes,All / Permanent Policy,Agnes Scott College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,1751,0.648,1130.0,1340.0,24.0,30.0
219,Virginia Polytechnic Institute and State University,Yes,2021,Virginia Polytechnic Institute and State University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,31936,0.648,1180.0,1390.0,25.0,31.0
220,University of Houston,Yes,2021,University of Houston has adopted a one-year test optional policy for all first-year applicants applying in the 2020-21 admission cycle. Applicants electing TO must submit 2 letters of support a personal statement and a resumé.,25393,0.65,1140.0,1310.0,22.0,27.0
221,University of North Carolina—​Charlotte,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,21867,0.65,1120.0,1290.0,22.0,26.0
222,Truman State University,Yes (TF),2021,Truman State University has adopted a one-year Test Flexible policy which means that while they prefer students submit SAT or ACT scores applications will still be evaluated without them for students who couldn't test. Students applying without test scores must submit an essay and may be asked to provide additional information. Test scores are required to be eligible for some scholarships or programs.,4568,0.653,1080.0,1358.0,24.0,30.0
223,University of North Carolina—​Wilmington,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,13287,0.655,1170.0,1320.0,22.0,27.0
224,SUNY—​Geneseo,Yes,2021,SUNY-Geneseo has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,10433,0.655,1120.0,1310.0,23.0,28.0
225,Embry-​Riddle Aeronautical University,Yes,All / Permanent Policy,Embry-Riddle Aeronautical University offers a test optional policy which allows most students to be considered for admission without SAT or ACT scores. Homeschooled students must provide SAT or ACT scores and show academic strength through SAT Subject Tests and/or AP Exams.,6017,0.655,1110.0,1320.0,22.0,29.0
226,University of the Pacific,Yes,All / Permanent Policy,University of the Pacific offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,13096,0.656,1130.0,1360.0,23.0,31.0
227,Rochester Institute of Technology,Yes,All / Permanent Policy,Rochester Institute of Technology offers a test optional policy which allows students applying to most programs to be considered for admission without SAT or ACT scores. Students applying to imaging science motion picture science and photographic sciences within the College of Art & Design must still provide test scores,18948,0.66,1200.0,1400.0,27.0,32.0
228,Berry College,Yes,All / Permanent Policy,Berry College offers a test optional policy which allows students to apply without standardized test scores.,3970,0.661,1110.0,1310.0,23.0,29.0
229,Mississippi State University,Yes,2021,Mississippi State has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,18269,0.663,1070.0,1280.0,22.0,30.0
230,Sewanee—​University of the South,Yes,All / Permanent Policy,Sewanee--The University of the South offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3545,0.667,1150.0,1340.0,25.0,30.0
231,Hanover College,Yes,All / Permanent Policy,Hanover College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,7795,0.669,1078.0,1300.0,22.0,28.0
232,Coe College,Yes*,All / Permanent Policy,Coe College requires either the SAT or ACT however it will waive this requirement if you have a 3.0+ GPA. It does not require the optional SAT Essay or ACT Writing Test. Subject Tests are not required.,7795,0.669,1078.0,1300.0,22.0,28.0
233,Randolph-​Macon College,Yes,2021,Randolph-Macon College has adopted a one-year test optional policy for students applying to the Fall 2021 semester. However students applying to direct entry Bachelor of Science in Nursing program must submit scores.,2907,0.671,1020.0,1240.0,20.0,27.0
234,Loyola University Chicago,Yes,All / Permanent Policy,Loyola University Chicago offers a test optional policy which allows students to be considered for admission without standardized test scores. However students applying for admission to the Bachelor of Nursing and Engineering Science programs will still be required to submit a self-reported test score as part of the requirement for review.,25583,0.672,1140.0,1320.0,25.0,30.0
235,University of Vermont,Yes,2021,University of Vermont has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19233,0.673,1180.0,1360.0,26.0,31.0
236,San Francisco State University,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,34629,0.673,940.0,1150.0,17.0,23.0
237,Brigham Young University—​Provo,Yes,2021,BYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,10500,0.675,1210.0,1420.0,26.0,31.0
238,Drake University,Yes,All / Permanent Policy,"Drake University offers a test optional policy which it refers to as a ""test-flexible"" plan which allows students to either write an essay or sit for an interview in lieu of submitting test scores. However homeschooled students as well as applicants to certain programs are not eligible for test optional admission.",6944,0.676,1100.0,1370.0,24.0,31.0
239,Stonehill College,Yes,All / Permanent Policy,Stonehill College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,6961,0.677,1120.0,1290.0,24.0,28.5
240,Elmhurst College,Yes,2021,Elmhurst has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Students who choose to apply TO will be required to submit an essay.,4175,0.678,990.0,1210.0,20.0,26.0
241,Taylor University,Yes,All / Permanent Policy,Taylor University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Students who choose not to submit scores may be asked to provide more information or complete proficiency exams.,2341,0.681,1080.0,1310.0,22.0,28.0
242,DePaul University,Yes,All / Permanent Policy,DePaul University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Subject Tests are not required. However homeschooled students and international students are not eligible for test optional admission.,26895,0.682,1070.0,1290.0,,
243,Knox College,Yes,All / Permanent Policy,Knox College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,3397,0.683,1090.0,1350.0,24.0,31.0
244,Hofstra University,Yes,All / Permanent Policy,Hofstra Univeristy offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,24425,0.685,1160.0,1340.0,25.0,30.0
245,Ithaca College,Yes,All / Permanent Policy,Ithaca College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,15278,0.685,1160.0,1338.0,25.0,30.0
246,California State University--San Bernardino,Yes (TB),2021,The Cal State system has adopted a one-year test blind policy meaning they will not consider standardized test scores for applicants to the 2020-21 admission cycle.,16307,0.686,910.0,1090.0,15.0,19.0
247,University of South Carolina,Yes,2021,The University of South Carolina has adopted a one-year test optional policy for students applying for 2021 admission.,31268,0.686,1180.0,1370.0,25.0,31.0
248,Albion College,Yes,2021,Albion College has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,4043,0.688,990.0,1200.0,21.0,27.0
249,Presbyterian College (SC),Yes,All / Permanent Policy,Presbyterian College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2462,0.688,1010.0,1210.0,19.0,25.0
250,Texas Tech University,Yes,2021,Texas Tech University has adopted a one-year test optional policy for both domestic and international first-year applicants ientering in the Fall of 2021. It is highly encouraged to submit an SAT/ACT score if an applicant is able to do so in order to qualify for scholarships. It does not require the SAT Essay or ACT Writing Test.,25384,0.689,1070.0,1260.0,22.0,27.0
251,Ohio Wesleyan University,Yes,All / Permanent Policy,Ohio Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,4705,0.69,1060.0,1295.0,22.0,28.0
252,Ripon College,Yes,All / Permanent Policy,Ripon College offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission.,2619,0.69,1000.0,1210.0,20.0,27.0
253,Drew University,Yes,All / Permanent Policy,Drew University offers a test optional policy which allows applicants to be considered for admission without SAT or ACT scores.,3788,0.692,1110.0,1310.0,25.0,30.0
254,Gustavus Adolphus College,Yes,All / Permanent Policy,Gustavus Adolphus College offers a test optional policy which allows students to be considered for admissions without SAT or ACT scores.,4957,0.692,,,25.0,30.0
255,Central Michigan,Yes,2021,Central Michigan University has adopted a one-year test optional policy for students entering in 2021. However homeschooled students or students whose high schools do not provide grades are not eligible for TO admission.,16411,0.695,990.0,1200.0,20.0,26.0
256,Oklahoma State University,Yes,2021,Oklahoma State University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Students applying without test scores must submit essays and other supplemental documents. Test scores are required for most university scholarships.,15277,0.7,1040.0,1265.0,21.0,28.0
257,Bradley University,Yes,All / Permanent Policy,Bradley University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,10708,0.702,1070.0,1270.0,22.0,28.0
258,Seton Hall University,Yes,2021,Seton Hall University has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,19260,0.704,1150.0,1310.0,24.0,28.0
259,Biola University,Yes,2021,Biola University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,4149,0.705,1080.0,1310.0,21.0,28.0
260,Ursinus College,Yes,All / Permanent Policy,Ursinus College has a test-optional policy which allows students to be considered for admissions without submitting SAT or ACT scores. However homeschooled applicants and applicants with narrative-style transcripts are not eligible for test optional admission.,3361,0.709,1140.0,1320.0,23.0,28.0
261,Montclair State,Yes,All / Permanent Policy,Montclair State offers a test optional policy which allows students to be considered for admission without SAT or ACT scores.,14324,0.709,990.0,1170.0,,
262,Clarkson University,Yes,2021,Clarkson University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6885,0.711,1160.0,1350.0,24.0,30.0
263,Michigan State University,Yes,2021,Michigan State has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. However homeschooled students are not eligible for test optional admission.,44322,0.711,1100.0,1320.0,23.0,29.0
264,Hollins University,Yes,2021,Hollins University has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,3244,0.712,1070.0,1300.0,22.0,30.0
265,Creighton University,Yes,All / Permanent Policy,Creighton offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the nursing program and homeschooled students are not eligible for test optional admission.,10112,0.714,1150.0,1350.0,24.0,30.0
266,California Lutheran University,Yes,All / Permanent Policy,California Lutheran University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission and test scores are required to qualify for some merit scholarships.,5752,0.715,1070.0,1250.0,21.0,26.0
267,University of Mary Washington,Yes,All / Permanent Policy,The University of Mary Washington offers a test optional policy which allows students to petition to be considered for admission without SAT or ACT scores. However students applying for the Pre-Nursing Program or merit based scholarships and homeschooled students are not eligible for test choice.,5909,0.718,1050.0,1269.0,22.0,29.0
268,Christopher Newport University,Yes*,All / Permanent Policy,Christopher Newport University requires either the SAT or ACT however they will waive this requirement for students with a 3.5+ GPA or who rank in the top 10% of their class. For students applying in the 2020-21 admission cycle there is no minimum GPA for test optional admission.,7204,0.719,1110.0,1280.0,22.0,27.0
269,University of California—Merced,Yes,2021 2022 2023 2024,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,25368,0.72,980.0,1180.0,17.0,22.0
270,Mercer University,Yes,2021 2022 2023,Mercer University has adopted a three-year test optional policy. After Fall 2023 they will reevaluate.,5454,0.72,1180.0,1340.0,25.0,30.0
