,school,test_optional?,applies_to_class_year(s),policy_details,number_of_applicants,accept_rate,sat_25th_percentile,sat_75th_percentile,act_25th_percentile,act_75th_percentile
31,Harvey Mudd College,Yes,2021,Harvey Mudd has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,4045,0.137,1490.0,1570.0,33.0,35.0
32,Georgetown University,Yes,2021,Georgetown has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Georgetown does not offer merit-based aid.,22872,0.145,1370.0,1530.0,31.0,34.0
33,University of California—​Berkeley,Yes (TB),2021 2022 2023 2024,Cal has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,89621,0.148,1300.0,1530.0,28.0,34.0
34,Tufts University,Yes,2021 2022 2023,Tufts has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Tufts will reevaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Tufts does not offer merit-based aid.,22766,0.15,1390.0,1540.0,32.0,34.0
35,Washington University in St. Louis,Yes,2021,Washington University in St. Louis has adopted a one-year test optional policy for the 2020-21 admission cycle.,31320,0.15,1470.0,1570.0,32.0,35.0
36,Middlebury College,Yes,2021 2022 2023,Middlebury has adopted a three-year test optional policy for first-year and transfer students beginning with the 2020-21 admission cycle. After a three-year pilot period Middlebury will re-evaluate whether to continue the test optional policy indefinitely or return to its previous test flexible policy. Middlebury does not offer merit-based aid.,9754,0.154,1360.0,1530.0,32.0,34.0
37,Carnegie Mellon University,Yes,2021,Carnegie Mellon has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Carnegie Mellon does not offer merit-based aid.,27634,0.154,1460.0,1560.0,33.0,35.0
38,University of Notre Dame,Yes,2021,Notre Dame has adopted a one-year test optional policy for all first year and transfer students applying in the 2020-21 admission cycle.,22200,0.158,1400.0,1550.0,32.0,35.0
39,The Cooper Union,Yes,2021 2022,Cooper Union has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Cooper Union will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2447,0.16,1283.0,1510.0,31.0,34.0
40,New York University,Yes,2021,NYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,79462,0.162,1370.0,1510.0,30.0,34.0
41,Haverford College,Yes,2021 2022 2023,Haverford has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Haverford will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Haverford does not offer merit-based aid.,4963,0.163,1380.0,1540.0,32.0,34.0
42,Wesleyan University,Yes,All / Permanent Policy,Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. International students will not be required to submit SAT or ACT scores for the 2020-21 admission cycle.,13264,0.165,1320.0,1510.0,31.0,34.0
43,Hamilton College,Yes,2021,Hamilton College has adopted a one-year test optional policy for all first-year and transfer applicants in the 2020-21 admission cycle. Hamilton does not offer merit-based aid.,8279,0.165,1370.0,1520.0,32.0,34.0
44,Northeastern University,Yes,2021,Northeastern University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,62263,0.181,1390.0,1540.0,32.0,35.0
45,Davidson College,Yes,2021 2022 2023,Davidson has adopted a three-year test optional policy for first-time students beginning with the 2020-21 admission cycle. However homeschooled students and students who attend non-traditional schools are not eligible for test optional admission. After a three-year pilot period Davidson will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5982,0.181,1310.0,1485.0,30.0,33.0
46,Emory University,Yes,2021,Emory has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,27559,0.185,1350.0,1520.0,31.0,34.0
47,Carleton College,Yes,2021,Carleton College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Carleton College does not offer merit-based aid.,7382,0.19,1360.0,1540.0,31.0,34.0
48,Georgia Institute of Technology,Yes,2021,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,36856,0.206,1300.0,1510.0,29.0,34.0
49,Washington and Lee University,Yes,2021,Washington and Lee has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,5855,0.212,1348.0,1490.0,31.0,34.0
50,Wellesley College,Yes,2021,Wellesley College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Wellesley College does not offer merit-based aid.,6395,0.216,1360.0,1530.0,31.0,34.0
51,Boston University,Yes,2021,Boston University has adopted a one-year test optional policy for all first year applicants both domestic and international in the 2020-21 admission cycle.,64481,0.221,1330.0,1500.0,30.0,33.0
52,Colgate University,Yes,2021,Colgate University has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Colgate does not offer merit-based aid.,9951,0.226,1330.0,1500.0,31.0,34.0
53,University of North Carolina—​Chapel Hill,Yes,2021,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42466,0.226,1300.0,1490.0,27.0,33.0
54,University of Michigan—​Ann Arbor,Yes,2021,The University of Michigan has adopted a one-year test optional policy for students applying the 2020-21 admission cycle.,64972,0.229,1340.0,1530.0,31.0,34.0
55,Vassar College,Yes,2021,Vassar College has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Vassar College does not offer merit-based aid.,8961,0.237,1370.0,1530.0,31.0,34.0
56,Rhode Island School of Design,Yes,All / Permanent Policy,Rhode Island School of Design offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However international and homeschooled students are still required to submit test scores.,3913,0.239,1180.0,1440.0,26.0,32.0
57,University of Virginia,Yes,2021,UVA has adopted a a one-year test optional policy for applicants in the 2020-21 admission cycle.,40839,0.239,1340.0,1500.0,30.0,34.0
58,Grinnell College,Yes,2021,Grinnell has adopted a one-year test optional policy for all first-year students applying in the 2020-21 admission cycle.,7349,0.244,1370.0,1530.0,30.0,34.0
59,Babson College,Yes,2021,Babson has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,6362,0.24,1270.0,1450.0,28.0,32.0
60,University of California—​Irvine,Yes (TB),2021 2022 2023 2024,UCI has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,95568,0.265,1180.0,1440.0,,
61,University of Miami,Yes,2021,University of Miami has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,38919,0.271,1280.0,1420.0,29.0,32.0
62,Boston College,Yes,2021,Boston College has adopted a one-year test optional policy for the 2020-21 admission cycle.,35552,0.272,1370.0,1490.0,31.0,34.0
63,Villanova University,Yes,2021,Villanova has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle.,22909,0.282,1320.0,1470.0,31.0,34.0
64,University of Richmond,Yes,2021,University of Richmond has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,12356,0.283,1290.0,1460.0,30.0,33.0
